n_features,clamp_value,rel_prob_with_clamping,mmlu_with_clamping
500,0,0.810546875,0.74
500,-10,0.79296875,0.71
500,-1000,0.163818359375,0.21000000000000005
750,0,0.810546875,0.73
750,-10,0.783203125,0.73
750,-1000,0.1181640625,0.2
1000,0,0.81640625,0.72
1000,-10,0.787109375,0.72
1000,-1000,0.239501953125,0.23000000000000004
1500,0,0.802734375,0.72
1500,-10,0.75390625,0.7
1500,-1000,0.26513671875,0.28
2000,0,0.798828125,0.7100000000000001
2000,-10,0.736328125,0.64
2000,-1000,0.26611328125,0.25
