,pile_sparsity,bio_sparsity
0,0.005499089,0.0053537316
1,0.005944022,0.00609324
2,0.13521086,0.26397362
3,0.5879576,0.65996486
4,0.25486994,0.28377858
5,0.41024178,0.4745178
6,0.0021899028,0.00016947063
7,0.07617386,0.02862513
8,0.07723057,0.0815693
9,0.23288052,0.1669671
10,0.30211622,0.34180686
11,0.083174594,0.10427836
12,0.51072705,0.63323474
13,0.10342598,0.09769212
14,0.07565245,0.03608184
15,0.16420795,0.19967492
16,0.18997233,0.12062458
17,0.187553,0.3207694
18,0.052842703,0.05057928
19,0.10220937,0.108769335
20,0.109940074,0.1074983
21,0.0061317277,0.0070792506
22,0.21963683,0.35344642
23,0.028656442,0.021075984
24,0.034426663,0.051796388
25,0.506966,0.72015774
26,0.09082883,0.18577833
27,0.022830606,0.01465921
28,0.040370684,0.045140814
29,0.09376955,0.05859062
30,0.23293614,0.29156652
31,0.015259799,0.0052844025
32,0.049783792,0.06731836
33,0.05925251,0.0916451
34,0.10329389,0.11746626
35,0.76548576,0.8128967
36,0.108737364,0.07015314
37,0.049895022,0.032815676
38,0.061602313,0.020660011
39,0.057618774,0.0952502
40,0.13825586,0.11453904
41,0.4773154,0.51973563
42,0.1425314,0.17973131
43,0.039904896,0.022146732
44,0.106464036,0.11842146
45,0.2539731,0.3869862
46,0.3427163,0.30573273
47,0.037617665,0.07524496
48,0.12627745,0.068096384
49,0.011192837,0.0034664448
50,0.056847095,0.067780554
51,0.25177625,0.30886793
52,0.09112082,0.11711962
53,0.08403665,0.14393449
54,0.102132894,0.11290596
55,0.2769219,0.35347724
56,0.428053,0.5916374
57,0.004324189,0.0038516053
58,0.17467777,0.1878736
59,0.29515022,0.27489677
60,0.2666954,0.23290658
61,0.33903173,0.28131354
62,0.5432002,0.5655235
63,0.30885276,0.33399582
64,0.6188526,0.68564737
65,0.021815604,0.009413323
66,0.007584711,0.0046604425
67,0.05377428,0.04837616
68,0.45894107,0.52267057
69,0.017526174,0.01564522
70,0.11150429,0.068435326
71,0.049735125,0.023271399
72,0.032056008,0.017956184
73,0.015266751,0.024426881
74,0.057444975,0.103538856
75,0.06635753,0.04887687
76,0.23480624,0.30431533
77,0.026251025,0.025158687
78,0.010156978,0.008265545
79,0.26055673,0.26859555
80,0.10060344,0.11473162
81,0.033877447,0.05873698
82,0.06867257,0.12286621
83,0.16094743,0.24202718
84,0.52645266,0.5777023
85,0.13722001,0.1804246
86,0.11453539,0.062488444
87,0.075923584,0.06935971
88,0.7210133,0.65861684
89,0.09977614,0.08933414
90,0.08765173,0.045841806
91,0.53338385,0.5925618
92,0.08161733,0.06345135
93,0.0008829132,0.00013095458
94,0.12891923,0.11151168
95,0.053461436,0.0652539
96,0.09443,0.0921304
97,0.12677799,0.11168885
98,0.0226429,0.02092192
99,0.063451566,0.08371079
100,0.20387648,0.15846275
101,0.043088946,0.028301597
102,0.08171466,0.19788778
103,0.3216237,0.3644389
104,0.05279404,0.051519074
105,0.12666675,0.16270721
106,0.087978475,0.08155389
107,0.016379083,0.0077263205
108,0.20008759,0.25682503
109,0.42853963,0.5619415
110,0.099685766,0.10972454
111,0.0516539,0.058482777
112,0.52262205,0.4807728
113,0.6103711,0.7798731
114,0.06259646,0.06362852
115,0.672328,0.6486335
116,0.025201263,0.020567572
117,0.08382809,0.08921859
118,0.4077043,0.48400813
119,0.24668038,0.22055833
120,0.0027321645,0.0003543477
121,0.06311786,0.041050408
122,0.1078475,0.08663801
123,0.058091518,0.053668268
124,0.058557305,0.041443273
125,0.016316514,0.016823811
126,0.22163902,0.19257256
127,0.0496517,0.024388365
128,0.05896748,0.115848586
129,0.103829205,0.033740062
130,0.03032494,0.024010908
131,0.07871832,0.09391754
132,0.013375787,0.0035434768
133,0.22050583,0.14391138
134,0.046634503,0.04193628
135,0.0006048303,0.00012325138
136,0.29713157,0.3850989
137,0.012583251,0.01046096
138,0.3668678,0.39025235
139,0.05615884,0.05823627
140,0.13199204,0.0851667
141,0.18559948,0.30185032
142,0.03878561,0.01670056
143,0.005818885,0.011046404
144,0.32897207,0.29277593
145,0.46168712,0.4035635
146,0.047447894,0.050109386
147,0.4666231,0.46271646
148,0.011929756,0.015783878
149,0.035365194,0.052119922
150,0.12063931,0.07717847
151,0.17832066,0.25224933
152,0.022024166,0.013781044
153,0.010991227,0.015082886
154,0.110913366,0.12984532
155,0.043756343,0.018272016
156,0.08416179,0.103908606
157,0.091934204,0.08578295
158,0.03565718,0.03517286
159,0.23924167,0.17638041
160,0.098239735,0.09555833
161,0.03173621,0.015783878
162,0.03464913,0.039255563
163,0.2210481,0.17459327
164,0.020710224,0.01571455
165,0.2081381,0.19202563
166,0.028454833,0.026314167
167,0.033828784,0.067888394
168,0.040002223,0.039409626
169,0.26758528,0.40806988
170,0.030846346,0.027893325
171,0.17175095,0.14502835
172,0.46818036,0.60262215
173,0.23589078,0.214727
174,0.03920969,0.061556358
175,0.123628706,0.17138103
176,0.08997372,0.09225365
177,0.046106145,0.03469526
178,0.083716854,0.09076693
179,0.15099207,0.07550687
180,0.18121967,0.15663709
181,0.012159174,0.0041058115
182,0.028635586,0.026121587
183,0.024888419,0.024265114
184,0.064821124,0.055101067
