,pile_sparsity,bio_sparsity
0,0.2064796,0.19912387
1,0.07559044,0.041548405
2,0.50111455,0.4351611
3,0.08045013,0.044140212
4,0.24889797,0.263124
5,0.16267785,0.11306159
6,0.0051607355,0.0024964025
7,0.22913665,0.18596609
8,0.102576785,0.07455816
9,0.03506433,0.015113571
10,0.2782855,0.3530104
11,0.034404904,0.027309371
12,0.13691717,0.11606681
13,0.025789341,0.029177697
14,0.050453357,0.05672558
15,0.099731214,0.09065757
16,0.060165573,0.031046024
17,0.06790668,0.05162942
18,0.13723972,0.14744675
19,0.05425223,0.028128255
20,0.0016414006,0.0005485725
21,0.55713004,0.59208465
22,0.15468587,0.17125003
23,0.17075583,0.1559218
24,0.13744758,0.123381115
25,0.1447873,0.22265685
26,0.44426763,0.42838743
27,0.7424076,0.8233119
28,0.0661936,0.024168992
29,0.07603484,0.104705796
30,0.06937605,0.11012792
31,0.35809052,0.4544804
32,0.11491954,0.026522288
33,0.07238648,0.075456545
34,0.007332545,0.008085482
35,0.3006415,0.3861871
36,0.6367559,0.79554147
37,0.06740494,0.045929037
38,0.12635918,0.09295522
39,0.023646204,0.018579913
40,0.41782603,0.4425072
41,0.0675913,0.02728552
42,0.14622083,0.12964597
43,0.19450238,0.13400275
44,0.093058094,0.09013285
45,0.2826721,0.3064533
46,0.48445687,0.52222514
47,0.2703867,0.1850518
48,0.05347812,0.043456484
49,0.027050855,0.016441274
50,0.38942048,0.43181401
51,0.1206967,0.11330805
52,0.11542845,0.06647268
53,0.19071785,0.17462891
54,0.23554456,0.26799756
55,0.28958893,0.34253982
56,0.019754149,0.00682933
57,0.06215819,0.026355332
58,0.1288822,0.08680166
59,0.12949862,0.0864598
60,0.09700749,0.08798626
61,0.117894135,0.13747704
62,0.10206788,0.06844436
63,0.41050783,0.33405682
64,0.028878614,0.011011202
65,0.10749382,0.15295632
66,0.057642546,0.039823186
67,0.20612837,0.24425788
68,0.20862272,0.24370931
69,0.10434003,0.10553263
70,0.10217539,0.1071386
71,0.3510877,0.481273
72,0.055549584,0.05628831
73,0.20802781,0.21635222
74,0.4507329,0.50296944
75,0.3078307,0.39003506
76,0.20491703,0.24830459
77,0.11347167,0.055151414
78,0.049005482,0.02874838
79,0.13105401,0.15811609
80,0.15885746,0.106971644
81,0.032161415,0.022316566
82,0.30191734,0.36017364
83,0.11043257,0.05701974
84,0.16583163,0.1072022
85,0.5801383,0.70447844
86,0.3162169,0.23621215
87,0.09016952,0.06369007
88,0.2318962,0.37014335
89,0.36549476,0.42115265
90,0.24062645,0.33878726
91,0.015804753,0.005787838
92,0.027287388,0.0052790167
93,0.00827868,0.0046191397
94,0.28712326,0.23700719
95,0.1317636,0.10104865
96,0.24891947,0.2888115
97,0.07034369,0.034257956
98,0.11619539,0.06662373
99,0.39979932,0.3774974
100,0.17807405,0.06934275
101,0.20901695,0.2389709
102,0.12582876,0.15673274
103,0.49301508,0.4215422
104,0.2342042,0.23573513
105,0.3681253,0.4313211
106,0.40513206,0.45758897
107,0.09933699,0.09111074
108,0.2615776,0.363481
109,0.086298965,0.06406373
110,0.22950937,0.20107171
111,0.19501129,0.0925418
112,0.035580404,0.011337166
113,0.19985664,0.16398343
114,0.08934523,0.03946542
115,0.03351611,0.036690757
116,0.041594096,0.03437721
117,0.35038525,0.20680389
118,0.2557718,0.20229605
119,0.13466652,0.14658812
120,0.05784324,0.017466867
121,0.057864744,0.050516374
122,0.27126116,0.34656268
123,0.035702255,0.031801306
124,0.056130163,0.06867492
125,0.05096226,0.05184408
126,0.082693614,0.037374485
127,0.0855822,0.08084687
128,0.059563488,0.043726794
129,0.25617316,0.3231092
130,0.38319895,0.46260563
131,0.23914275,0.35059348
132,0.41232127,0.43504184
133,0.10715694,0.13647531
134,0.03233344,0.014000525
135,0.16964485,0.1973271
136,0.45357847,0.5655067
137,0.23503566,0.22327697
138,0.29424793,0.16369721
139,0.17501344,0.17566246
140,0.06768448,0.021807745
141,0.09763108,0.07040809
142,0.27743253,0.2539732
143,0.54470843,0.6219461
144,0.19708993,0.13679332
145,0.24897681,0.30216804
146,0.27213562,0.23354083
