,pile_sparsity,bio_sparsity
0,0.20704582,0.25243306
1,0.08005839,0.140448
2,0.18232286,0.21518715
3,0.15151624,0.26251635
4,0.41651505,0.47578895
5,0.056169596,0.062063243
6,0.2313661,0.26798078
7,0.24841616,0.29346022
8,0.086738914,0.069609754
9,0.6122421,0.5475127
10,0.20504671,0.1255943
11,0.2217588,0.22674623
12,0.102214135,0.08992788
13,0.120220624,0.10012285
14,0.19433917,0.23839305
15,0.037091635,0.020054884
16,0.52262676,0.53709435
17,0.08856545,0.08835636
18,0.223535,0.32936597
19,0.13584685,0.09305498
20,0.14185861,0.12862568
21,0.25462207,0.24621877
22,0.061447855,0.047608413
23,0.12247144,0.1306519
24,0.5525273,0.56739205
25,0.046792414,0.027178595
26,0.72668827,0.6657998
27,0.34259066,0.31972942
28,0.10705374,0.10743004
29,0.122622445,0.07964517
30,0.09835252,0.06386611
31,0.16323052,0.13422573
32,0.05145943,0.07609528
33,0.09141312,0.10919302
34,0.13325806,0.10088867
35,0.41215006,0.43752992
36,0.041506965,0.04139411
37,0.00053214055,0.00027122753
38,0.065309465,0.050392482
39,0.22838178,0.22669837
40,0.0910248,0.067376114
41,0.15055983,0.23642267
42,0.18596874,0.16066243
43,0.26624286,0.30695778
44,0.082280435,0.09603848
45,0.13013713,0.16876735
46,0.33733398,0.4328313
47,0.104716636,0.16662943
48,0.043376647,0.05289735
49,0.14613731,0.13764797
50,0.3591805,0.43719488
51,0.03876716,0.03362424
52,0.059362438,0.05536233
53,0.028584577,0.012149398
54,0.18178353,0.20850219
55,0.15697427,0.14341556
56,0.1639784,0.19934426
57,0.40385875,0.4478924
58,0.08470383,0.09799292
59,0.24791998,0.23095824
60,0.13100725,0.1017901
61,0.1490425,0.17383292
62,0.075959474,0.07524969
63,0.46098474,0.4498947
64,0.07643408,0.09145155
65,0.09227605,0.13004564
66,0.09088098,0.09167491
67,0.26256102,0.349716
68,0.34799835,0.44879383
69,0.08453125,0.09007148
70,0.24587052,0.30314463
71,0.122270085,0.12964676
72,0.12663507,0.121629596
73,0.13582529,0.15420881
74,0.26422217,0.34388462
75,0.05765815,0.031677783
76,0.016748047,0.025686843
77,0.2997893,0.41505793
78,0.15119264,0.1868997
79,0.10365955,0.12224385
80,0.3056069,0.27169022
81,0.28619814,0.26209354
82,0.07040795,0.12659945
83,0.13473225,0.097003736
84,0.09464911,0.13353968
85,0.1271744,0.13427359
86,0.0729536,0.089792274
87,0.41524222,0.5314943
88,0.16312265,0.13772775
89,0.32871187,0.34668463
90,0.08697622,0.07709244
91,0.21097936,0.23152462
92,0.17910126,0.18797664
93,0.059736375,0.046156548
94,0.18720561,0.099029966
95,0.16176355,0.23247391
96,0.0743199,0.05174862
97,0.15051667,0.17463066
98,0.45357794,0.5155318
99,0.03944312,0.03529947
100,0.25704548,0.24808545
101,0.23912528,0.273533
102,0.18015835,0.14440474
103,0.33494654,0.385183
104,0.10871488,0.10871438
105,0.11723632,0.19560292
106,0.28278238,0.28028175
107,0.18258893,0.1806854
108,0.2023069,0.1644995
109,0.13635023,0.09714732
110,0.16579774,0.15536551
111,0.077577464,0.05696576
112,0.6788172,0.74583584
113,0.21684009,0.34231308
114,0.18226534,0.12305753
115,0.17553447,0.19748557
116,0.07070997,0.044425476
117,0.028483903,0.039439674
118,0.15495358,0.21433358
119,0.09906444,0.13353968
120,0.13297762,0.08260474
121,0.13982353,0.11508025
122,0.21744414,0.27249593
123,0.15455088,0.21540253
124,0.19096656,0.17131211
125,0.30483744,0.25020742
126,0.27165776,0.14268962
127,0.3665298,0.39580873
128,0.16431639,0.16405278
129,0.07760623,0.096301734
130,0.072730675,0.070535116
131,0.1919805,0.2467692
132,0.17825271,0.21557006
133,0.21358253,0.28201282
134,0.2515443,0.27468172
135,0.18815483,0.18765755
136,0.38812464,0.38696194
137,0.0883641,0.09461853
138,0.38931116,0.45573407
139,0.21385579,0.2102173
140,0.30186033,0.3976435
141,0.11989702,0.08301956
142,0.14221816,0.18319027
143,0.1048245,0.1287932
144,0.08837848,0.03969495
145,0.1342792,0.17348193
146,0.09238392,0.10778104
147,0.110124335,0.094283484
148,0.30755568,0.21474043
149,0.046058923,0.027346117
150,0.1814024,0.23834519
151,0.11167042,0.03285044
152,0.120910965,0.10393599
153,0.0896513,0.116444364
154,0.13319334,0.19209293
155,0.07120616,0.05514694
156,0.15555044,0.21368742
157,0.36020163,0.29809502
158,0.16352536,0.20927598
159,0.099107586,0.05091898
160,0.2908939,0.3190753
161,0.051538534,0.035187785
162,0.048165914,0.05110246
163,0.13755114,0.12285012
164,0.61244345,0.720859
165,0.04413171,0.1020693
166,0.06503621,0.06321197
167,0.08166201,0.10441463
168,0.16820675,0.16863173
169,0.05401227,0.06257379
170,0.09083064,0.06691343
171,0.58993536,0.6573758
172,0.36109334,0.48907113
173,0.09431113,0.07551294
174,0.09112548,0.13056415
175,0.13202839,0.20643607
176,0.13622798,0.15187147
177,0.118595436,0.11525575
178,0.33386067,0.28987843
179,0.1738158,0.20901273
180,0.09940242,0.097418554
181,0.047202308,0.017861132
182,0.13501988,0.11080443
183,0.26461768,0.192061
184,0.082251675,0.059271194
185,0.13914038,0.1136603
186,0.07206909,0.044114362
187,0.11152659,0.12932767
188,0.1922969,0.17356169
189,0.049093563,0.055075146
190,0.13907565,0.09942085
191,0.11004523,0.13115448
192,0.018250983,0.014526628
193,0.032136977,0.034278374
194,0.24820761,0.18937267
195,0.23807538,0.31179202
196,0.05578847,0.07950158
197,0.06900569,0.097889215
198,0.016827147,0.0034541625
199,0.083661124,0.1050927
200,0.13271874,0.16809726
201,0.128138,0.14098248
202,0.2610581,0.34646127
203,0.36522102,0.25617442
204,0.26215115,0.22140943
205,0.14732383,0.10027442
206,0.28206328,0.24933788
207,0.087551504,0.059701968
208,0.14810048,0.12146208
209,0.027297374,0.013689014
210,0.07268033,0.0751061
211,0.04539015,0.023931842
212,0.27351305,0.30897602
213,0.31038895,0.25923768
214,0.24884044,0.3362663
215,0.027369283,0.036216855
216,0.28093427,0.28912058
217,0.23247352,0.32230607
218,0.18203522,0.32084623
219,0.123535715,0.09856728
220,0.18343748,0.113548614
221,0.027088832,0.014135742
222,0.09104638,0.11525575
223,0.08664543,0.11068477
224,0.23955674,0.19008264
225,0.30110526,0.19888158
226,0.06008874,0.090693705
227,0.29765356,0.38197613
228,0.41289073,0.5061265
229,0.12070242,0.10586649
230,0.10181863,0.12107119
231,0.10739172,0.10388015
232,0.115618326,0.09678037
233,0.19805697,0.16501802
234,0.3006666,0.2687067
