,pile_sparsity,bio_sparsity
0,0.044291776,0.038954906
1,0.11033082,0.15907103
2,0.026606955,0.037925296
3,0.07761633,0.040247727
4,0.30373386,0.32484615
5,0.056354333,0.06565512
6,0.07539792,0.046255082
7,0.12726,0.0729011
8,0.20493871,0.21633443
9,0.016319117,0.013470098
10,0.14749599,0.10919295
11,0.17461593,0.20436618
12,0.04590705,0.05945423
13,0.24485607,0.3223766
14,0.17144778,0.17617185
15,0.06539432,0.052154053
16,0.29759857,0.34308496
17,0.1163621,0.1866228
18,0.18507016,0.14201665
19,0.12732239,0.072212115
20,0.13376962,0.17213082
21,0.096549,0.090450935
22,0.0337821,0.0117515
23,0.05296434,0.023332689
24,0.1255962,0.13879621
25,0.07837197,0.04011612
26,0.17688286,0.17957035
27,0.35225445,0.18975034
28,0.08746742,0.08836849
29,0.118393324,0.22122702
30,0.1422758,0.13786723
31,0.16592951,0.17212309
32,0.044069935,0.046657637
33,0.30473906,0.32015482
34,0.12500693,0.05305206
35,0.030648606,0.021265725
36,0.17532998,0.17016451
37,0.4133298,0.46665376
38,0.030017747,0.004760983
39,0.0123329265,0.004048771
40,0.15188426,0.13943875
41,0.030128667,0.024486162
42,0.15282707,0.14099477
43,0.0811935,0.07725953
44,0.048874162,0.042608865
45,0.093838386,0.06777627
46,0.17500415,0.14760596
47,0.11889246,0.064300366
48,0.18685181,0.19382234
49,0.07496811,0.06367331
50,0.15768676,0.13813819
51,0.14428623,0.22740468
52,0.07578614,0.079543255
53,0.041442517,0.055777047
54,0.053921025,0.050141282
55,0.15202984,0.1473892
56,0.354868,0.42370427
57,0.027161555,0.040526416
58,0.05703372,0.026940197
59,0.14136072,0.17166634
60,0.08825772,0.027203407
61,0.06162997,0.036911167
62,0.16441129,0.13590865
63,0.1872331,0.13220051
64,0.021060951,0.0041803755
65,0.04698852,0.018772982
66,0.2089041,0.2549487
67,0.1359395,0.13189858
68,0.25483888,0.27703503
69,0.06432672,0.062032126
70,0.11822001,0.020491581
71,0.03741473,0.013508806
72,0.11982142,0.118513644
73,0.05778243,0.09638862
74,0.040978037,0.011194116
75,0.06317592,0.031136056
76,0.11177278,0.086131215
77,0.15467806,0.1424192
78,0.10632383,0.0357964
79,0.09407409,0.05973292
80,0.055051025,0.06365009
81,0.08346043,0.12156377
82,0.08577589,0.06491194
83,0.09392158,0.0548713
84,0.029074926,0.021103155
85,0.0404581,0.018107219
86,0.07704786,0.040557384
87,0.10381427,0.10873621
88,0.06176169,0.08147087
89,0.16907687,0.07495258
90,0.037068106,0.024122315
91,0.06441684,0.041556027
92,0.13517691,0.11352816
93,0.11010205,0.08541901
94,0.021268927,0.013686859
95,0.09430287,0.08318173
96,0.015521879,0.0064873234
97,0.020360768,0.0018037546
98,0.12295491,0.16311206
99,0.21868588,0.21367137
100,0.18360047,0.1869789
101,0.115710445,0.06823302
102,0.18090372,0.27950454
103,0.043182574,0.06354171
104,0.18538211,0.16457519
105,0.09790777,0.15215793
106,0.105498865,0.1826437
107,0.07635461,0.0061157346
108,0.041109756,0.03799497
109,0.1351284,0.15518482
110,0.10138789,0.07113606
111,0.0840081,0.063425586
112,0.10538101,0.11249855
113,0.12742637,0.20377009
114,0.124819756,0.13126379
115,0.079529695,0.031894717
116,0.11695829,0.10558545
117,0.030600078,0.030269016
118,0.052361213,0.04539578
119,0.10295463,0.09611767
120,0.12818895,0.11098897
121,0.113096885,0.124304235
122,0.10116605,0.1236617
123,0.114767626,0.079024576
124,0.03553602,0.015606735
125,0.10756475,0.14705633
126,0.020658866,0.005751887
127,0.058045864,0.039365202
128,0.17408213,0.21213083
129,0.08455577,0.037607897
130,0.07970301,0.079551
131,0.1054642,0.043321077
132,0.14239365,0.11744533
133,0.1894307,0.23721309
134,0.075293936,0.04674279
135,0.0700183,0.08969228
136,0.035827186,0.03256822
137,0.37473658,0.3591562
138,0.20523681,0.16765629
139,0.11969663,0.067296304
140,0.20400283,0.123212695
141,0.10606733,0.04953745
142,0.033165105,0.016318947
143,0.1742901,0.20712212
144,0.083176196,0.13518095
145,0.046468582,0.040092897
146,0.17628667,0.19264564
147,0.11306916,0.1161138
148,0.27743194,0.24804336
149,0.05066968,0.02512096
150,0.21107398,0.19875363
151,0.04912373,0.0722663
152,0.19461621,0.121811494
153,0.07599412,0.085991874
154,0.12924269,0.21183665
155,0.066344075,0.021126378
156,0.05183434,0.0685659
157,0.22233237,0.17665184
158,0.058725253,0.05705438
159,0.041331597,0.06706406
160,0.13519078,0.11729824
161,0.12597056,0.10880588
162,0.022294937,0.023928778
163,0.057581387,0.035835106
164,0.10423715,0.07746855
165,0.07062143,0.04874008
166,0.094358325,0.064153284
167,0.14529145,0.09838591
168,0.131676,0.44352236
169,0.1311422,0.07731372
170,0.05031612,0.060236115
171,0.08309301,0.14207083
172,0.081179634,0.07619122
173,0.01417004,0.0055428683
174,0.07374799,0.06985872
175,0.02784094,0.009924521
176,0.14149243,0.11483646
177,0.15671621,0.17669053
178,0.03049609,0.027141474
179,0.24183351,0.11249855
180,0.1812642,0.115068704
181,0.054253787,0.024106832
182,0.2581457,0.15059416
183,0.056465253,0.04113025
184,0.060063224,0.05583898
185,0.11820614,0.14371976
186,0.105471134,0.17314495
187,0.49003798,0.46960324
188,0.059175864,0.0456048
189,0.2218263,0.1527308
190,0.009955077,0.0059221988
191,0.101270035,0.13099284
192,0.07924546,0.070168376
193,0.13708335,0.23221986
194,0.016409239,0.020778013
195,0.008977594,0.005434488
196,0.24382314,0.28389394
197,0.062822364,0.03304819
198,0.053255506,0.022450164
199,0.01588237,0.0060770274
200,0.099786475,0.083584286
201,0.24433614,0.30450165
202,0.024693584,0.014244243
203,0.10689923,0.11465841
204,0.044721592,0.014306174
205,0.040166933,0.059059415
206,0.24285951,0.3084343
207,0.08477067,0.04447455
208,0.11767234,0.110509
209,0.0021976042,0.0026011225
210,0.08328712,0.09240178
211,0.04938717,0.036841493
212,0.06411181,0.036082834
213,0.047758028,0.08681247
214,0.039827242,0.025701568
215,0.06418806,0.05994194
216,0.09165465,0.06657635
217,0.34028202,0.43536288
218,0.32821253,0.33598608
219,0.2809259,0.31393847
220,0.10619905,0.17168957
221,0.4701209,0.45585448
222,0.08167878,0.08688988
223,0.08304448,0.05757306
224,0.094316736,0.18267466
225,0.05103017,0.04074318
226,0.236031,0.35451132
227,0.15412346,0.16772595
228,0.121499084,0.17120185
229,0.037990127,0.018463325
230,0.23828407,0.22512096
231,0.015202984,0.0056667314
232,0.11011591,0.07838204
233,0.06877045,0.078591056
234,0.090829685,0.05062125
235,0.2027619,0.35619122
236,0.1327644,0.23110509
237,0.15554462,0.16318174
238,0.0744759,0.08697503
239,0.11072597,0.096187346
240,0.5434807,0.46207082
241,0.16836283,0.19667892
242,0.100659974,0.09185988
243,0.10581776,0.07131411
244,0.2681077,0.20762531
245,0.054129,0.021923747
246,0.071384005,0.06886782
247,0.025081804,0.010226437
248,0.37494454,0.44643313
249,0.19174616,0.12782659
250,0.0968679,0.14349526
251,0.12154761,0.053686857
252,0.0851381,0.034573253
253,0.20950724,0.18023612
254,0.015840774,0.02560867
255,0.018197825,0.023363654
256,0.105956405,0.070818655
257,0.21323693,0.32793498
258,0.27084604,0.41325334
259,0.13083717,0.10690923
260,0.050655816,0.04199729
261,0.03384449,0.035889298
262,0.1688481,0.2182698
263,0.15126726,0.13240178
264,0.07376879,0.06053803
265,0.10791831,0.082105674
266,0.16873717,0.24447455
267,0.15166935,0.15661699
268,0.44215518,0.57644284
