,pile_sparsity,bio_sparsity
0,0.083157524,0.09346647
1,0.019546004,0.012332656
2,0.26601708,0.31720704
3,0.19311105,0.15202081
4,0.060399763,0.055453334
5,0.10967803,0.07174355
6,0.17074479,0.10658429
7,0.23163031,0.25264895
8,0.15294604,0.17029376
9,0.020691505,0.019478459
10,0.036192007,0.024165662
11,0.23069505,0.2919231
12,0.03801176,0.037307277
13,0.06910702,0.0680953
14,0.025266256,0.029415963
15,0.07075277,0.055524714
16,0.28354758,0.3106481
17,0.08185977,0.05719815
18,0.2005423,0.20012213
19,0.028876757,0.040495526
20,0.22209656,0.22021128
21,0.027782006,0.027924942
22,0.7417912,0.86334145
23,0.1926978,0.20201764
24,0.03630801,0.05156716
25,0.028942008,0.008858892
26,0.08632577,0.075407654
27,0.58559716,0.6373961
28,0.08183077,0.04142345
29,0.015022004,0.011095425
30,0.3289036,0.32066494
31,0.087688774,0.11860764
32,0.25517106,0.3068016
33,0.051243015,0.097860225
34,0.35103783,0.37686378
35,0.11279553,0.1440026
36,0.06569227,0.06959425
37,0.5813414,0.46806198
38,0.08221502,0.06367775
39,0.2200593,0.16729586
40,0.14634128,0.09650403
41,0.55835164,0.5839731
42,0.0011382502,0.00053930585
43,0.11654378,0.106504984
44,0.117667526,0.14137745
45,0.29967156,0.41453588
46,0.15361305,0.13161443
47,0.0134705035,0.013006789
48,0.10242803,0.073321804
49,0.075972766,0.040408287
50,0.089711525,0.13834782
51,0.07460252,0.080895886
52,0.033661757,0.038068652
53,0.10756103,0.058157794
54,0.30957508,0.2600882
55,0.1524313,0.18142885
56,0.053019263,0.08186346
57,0.31648433,0.17876405
58,0.020111505,0.007391663
59,0.034945007,0.045714103
60,0.11984978,0.23843665
61,0.07611777,0.036212802
62,0.03524951,0.036077976
63,0.27199107,0.35882875
64,0.19628654,0.18613984
65,0.08185977,0.07903211
66,0.13597378,0.16980997
67,0.08518027,0.10579912
68,0.019741755,0.013696783
69,0.13587953,0.12142313
70,0.20677005,0.23606528
71,0.3644866,0.36696592
72,0.056245513,0.031945944
73,0.054694016,0.11135873
74,0.061878767,0.025283929
75,0.46231088,0.49862
76,0.2179423,0.22220989
77,0.06456126,0.12227175
78,0.45353836,0.46814921
79,0.16451705,0.33510724
80,0.84988874,0.8925671
81,0.007518252,0.013958505
82,0.19981004,0.21768923
83,0.4279676,0.37507138
84,0.13213854,0.059823297
85,0.07614677,0.07192595
86,0.026933758,0.011016116
87,0.17247029,0.18782914
88,0.4415541,0.36663282
89,0.29208082,0.20395279
90,0.37409285,0.3825027
91,0.33817634,0.37755376
92,0.3877301,0.39435157
93,0.23542206,0.20312004
94,0.29828683,0.23712803
95,0.18174304,0.14163917
96,0.09030602,0.047443055
97,0.072007015,0.050615445
98,0.08736977,0.07944451
99,0.45784485,0.58341
100,0.15657105,0.06570808
101,0.0066047516,0.003537212
102,0.16332804,0.24001491
103,0.10035452,0.06834909
104,0.16361804,0.08439344
105,0.23978657,0.28162077
106,0.04231101,0.018717086
107,0.34226534,0.26011992
108,0.6813407,0.8346631
109,0.056666013,0.046856165
110,0.74633694,0.7976889
111,0.08348377,0.051765434
112,0.63528866,0.62913203
113,0.04783551,0.03782279
114,0.052751012,0.041217245
115,0.34655735,0.38883162
116,0.034299757,0.01719434
117,0.0014572503,0.0008882685
118,0.024425257,0.012245416
119,0.6633824,0.7309657
120,0.023127506,0.033762135
121,0.26411033,0.38787195
122,0.30523232,0.40671596
123,0.26598805,0.25451273
124,0.27455032,0.34564748
125,0.30381858,0.30494577
126,0.12554829,0.089524776
127,0.008098252,0.0012293002
128,0.5353039,0.6015719
129,0.65346444,0.65587527
130,0.14007004,0.20879862
131,0.3202181,0.37973478
132,0.022098005,0.01686124
133,0.1485743,0.17674957
134,0.011592753,0.01366506
135,0.03934576,0.008811306
136,0.023098506,0.040804833
137,0.15401904,0.15831007
138,0.03952701,0.020882241
139,0.27144006,0.36553836
140,0.5445404,0.6335575
141,0.04066526,0.0135064395
142,0.073116265,0.025474273
143,0.6103124,0.51647264
144,0.1946118,0.22677812
145,0.067396015,0.099819176
146,0.21800755,0.23379703
147,0.03811326,0.013133684
148,0.026680008,0.031168707
