,pile_sparsity,bio_sparsity
0,0.031626776,0.020493083
1,0.13091967,0.15952757
2,0.17633654,0.11448439
3,0.050899774,0.03585689
4,0.1661994,0.19634469
5,0.122916296,0.09713609
6,0.19567859,0.16031176
7,0.28440621,0.28837553
8,0.11094922,0.10589826
9,0.044374164,0.01060263
10,0.2440579,0.15793517
11,0.08200174,0.046259474
12,0.1448824,0.12964815
13,0.14292127,0.15711896
14,0.19795047,0.2048428
15,0.22675294,0.21482928
16,0.2249161,0.15388617
17,0.110092945,0.11699702
18,0.13871586,0.10719459
19,0.051024072,0.0625035
20,0.07716795,0.047923885
21,0.15555125,0.12795973
22,0.051983923,0.115172565
23,0.18650821,0.18491785
24,0.21816951,0.17067432
25,0.16282265,0.18279733
26,0.1801207,0.2024502
27,0.17480354,0.12711152
28,0.08149765,0.10132113
29,0.64116037,0.7075515
30,0.07652575,0.10544215
31,0.42198268,0.46337092
32,0.40540278,0.33690757
33,0.17976853,0.32492858
34,0.16596462,0.11072346
35,0.13047081,0.07334619
36,0.06091262,0.0669366
37,0.14324582,0.117357105
38,0.22870716,0.24102777
39,0.20193489,0.19456024
40,0.10418882,0.06809689
41,0.20351623,0.22808057
42,0.10251771,0.05677408
43,0.23521897,0.29546526
44,0.35375723,0.45317638
45,0.07989559,0.039417777
46,0.02283619,0.012587122
47,0.1485699,0.12854388
48,0.2501692,0.3209116
49,0.099140964,0.08662949
50,0.20870219,0.17398715
51,0.22200201,0.20748346
52,0.18612841,0.06375181
53,0.07039375,0.044322994
54,0.13652685,0.19116741
55,0.18663251,0.3169346
56,0.026275083,0.027590843
57,0.023837475,0.024141988
58,0.13202453,0.08094808
59,0.082250334,0.15659884
60,0.22027567,0.35105506
61,0.07060781,0.05355728
62,0.37804356,0.32328817
63,0.1333849,0.13645785
64,0.22445343,0.31962326
65,0.06665792,0.03960182
66,0.09842971,0.16018373
67,0.2607966,0.23450616
68,0.8424324,0.8939577
69,0.29419118,0.23158543
70,0.0973939,0.02854308
71,0.23497038,0.32959375
72,0.14580773,0.06993734
73,0.21493778,0.2205747
74,0.18168133,0.23876321
75,0.18321434,0.20399459
